Set Number,Quantity
fig-015327,1
fig-014313,1
fig-004255,1
fig-015005,1
fig-010479,1
fig-010481,1
fig-010442,1
fig-010444,1
fig-010485,1
fig-013155,1
fig-004170,1
fig-004100,1
fig-001416,1
fig-003692,1
fig-004051,1
fig-004103,1
fig-001096,1
fig-003856,1
fig-010994,1
fig-012928,1
fig-015331,1
fig-004025,1
fig-015309,1
fig-015330,1
fig-016443,1
fig-003997,1
fig-010857,1
fig-004300,1
fig-004286,1
fig-010996,1
fig-003891,1
fig-000078,1
fig-012925,1
fig-003651,1
fig-003672,1
fig-003892,1
fig-004028,1
fig-004185,1
fig-007680,1
fig-003985,1
fig-002523,1
fig-002685,1
fig-003953,1
fig-003832,1
fig-015289,1
fig-003502,1
fig-003957,1
fig-003761,1
fig-003532,1
fig-002066,1
fig-003618,1
fig-015285,1
fig-003878,1
fig-004261,1
fig-004053,1
fig-003684,1
fig-003771,1
fig-003655,1
fig-003643,1
fig-003998,1
fig-013706,1
fig-012924,1
fig-016605,1
fig-004006,1
fig-004492,1
fig-003691,1
fig-001843,1
fig-002048,1
fig-003634,1
fig-000773,1
fig-012918,1
fig-003805,1
fig-003930,1
fig-003907,1
fig-004049,1
fig-004484,1
fig-014306,1
fig-003874,1
fig-004480,1
fig-003774,1
fig-004002,1
fig-003636,1
fig-015283,1
fig-003877,1
fig-004213,1
fig-003815,1
fig-003629,1
fig-011725,1
fig-015062,1
fig-012675,1
fig-014965,1
fig-003721,1
fig-010431,1
fig-010432,1
fig-010433,1
fig-004044,1
fig-004036,1
fig-016445,1
fig-003736,1
fig-004295,1
fig-004519,1
fig-004297,1
fig-002149,1
fig-004156,1
fig-004236,1
fig-011123,1
fig-004431,1
fig-004445,1
fig-004022,1
fig-010681,1
fig-003991,1
fig-014402,1
fig-014404,1
fig-014399,1
fig-014403,1
fig-010480,1
fig-003926,1
fig-004350,1
fig-003912,1
fig-013743,1
fig-004141,1
fig-003814,1
fig-003936,1
fig-004406,1
fig-004174,1
fig-003700,1
fig-003537,1
fig-004351,1
fig-002549,1
fig-003553,1
fig-015579,1
